link,metaforico,indice_noticia,paragrafos_resgatados
https://cultura.estadao.com.br/blogs/sem-intervalo/a-chinesa-classico-politico-do-revolucionario-godard-esta-na-tv/,1,11,"['Ao mostrar sua jovem esquerda isolada, criou cenas inteligentes e divertidas, mas também acentuou a esquizofrenia de uma pequena burguesia intelectual alienada na sua utopia. Radicalizando, no ano seguinte, foi para a rua e filmou o engarrafamento monstruoso de Week-End à Francesa, concentrando na situação-limite o que, para ele, era a derrocada do capitalismo consumista.']"
"https://cultura.estadao.com.br/noticias/teatro-e-danca,peca-simples-assim-mostra-como-rir-da-falta-de-afeto,70002998872",1,12,"['“Trazemos o espírito meio esquizofrênico desta época. A vida é difícil, mas a simplicidade salva. Corruptos existem, mas eles nada podem contra a morte. A tecnologia nos domina, mas o amor segue imperioso. Tudo se entrelaça”, comenta a escritora, no material de divulgação. “As cenas exploram detalhes dessas relações no cotidiano, procurando o que permanece de humano nos personagens em meio a tantas transformações.”']"
https://cultura.estadao.com.br/blogs/direto-da-fonte/secretaria-de-educacao-paulistana-estuda-bonus-para-professores-e-servidores/,1,14,"['Quem vê estes bonecos à venda na loja do Metropolitan Museum em NY se confunde. Descobre serem feitos à imagem e semelhança de Vicent van Gogh. A orelha ( o brilhante artista cortou a sua durante crise esquizofrênica) pode ser… destacada.', 'Quem vê estes bonecos à venda na loja do Metropolitan Museum em NY se confunde. Descobre serem feitos à imagem e semelhança de Vicent van Gogh. A orelha ( o brilhante artista cortou a sua durante crise esquizofrênica) pode ser… destacada.']"
"https://cultura.estadao.com.br/noticias/televisao,o-brasil-nao-se-considera-um-pais-latino-americano-diz-caco-ciocler,70002729805",1,15,"['“Essa é uma coisa meio esquizofrênica. Eu já tinha um pouco a cabeça de diretor atuando, o que era um problema. As marcas que eu não faria já eram um incômodo para mim. Isso tornou a questão mais problemática, no bom e no mal sentido.”']"
"https://cultura.estadao.com.br/noticias/literatura,cenario-amos-oz-um-lutador-incansavel-contra-o-fanatismo,70002660660",1,16,"[', por exemplo, chegou a chamá-lo de “o médico e o monstro”, por seu “caráter esquizofrênico”.']"
"https://cultura.estadao.com.br/noticias/televisao,debate-house-of-cards-sobreviveu-sem-kevin-spacey,70002620384",1,17,"['A dura missão dos roteiristas, a de colocar em pé e funcionando uma história que parecia bem terminada no final da 5.ª temporada, levou o time de escritores a optar por saídas surreais – até a possibilidade de um fantasma assombrando a Casa Branca é insinuada. Grande prejuízo. Desapareceram a sensualidade e a transgressão prontas para saltar no vídeo a cada sequência. Há líderes do governo americano que morrem, não morrem, e depois morrem de fato. A revelação apenas sugerida da ligação esquizofrênica entre Frank Underwood e Doug Stamper, o mais antigo agente de sua vontade, somado ao uso da ameaça nuclear como ferramenta de preservação do poder – é tudo uma baita bagunça. O desfecho encenado no Salão Oval por Doug e Claire é de dar vergonha em autor de novela coreana. Saudade do enredo cafajeste das cinco primeiras temporadas.']"
https://einvestidor.estadao.com.br/colunas/farialima-elevator/novas-possibilidades/,1,18,"['Adoro o mercado pois é um esquizofrênico profissional. A tese montada hoje pode ser completamente desmontada amanhã. Tudo isso com explicações racionais , fundamentadas e sem constrangimento.']"
"https://politica.estadao.com.br/noticias/geral,ordens-e-internet,70003720588",1,20,"['Na política externa essa “dualidade de mando” criou uma situação esquizofrênica para o principal parceiro comercial brasileiro, a China. Valem os ataques que Bolsonaro reitera nas redes ao regime chinês ou as súplicas dirigidas a Pequim por parte de ministros (como a da Agricultura) e governadores (como o de São Paulo) pela manutenção de laços para garantir exportações e suprimento de insumos para vacinas?']"
https://brasil.estadao.com.br/blogs/macaco-eletrico/a-esquizofrenia-do-posicionamento/,1,21,"['Vivemos, portanto, uma “esquizofrenia do posicionamento”: se correr, o bicho pega; se ficar, o bicho come!', 'Por isso, a melhor maneira de vencer a esquizofrenia do posicionamento é não embarcar nessa loucura.']"
https://politica.estadao.com.br/blogs/fausto-macedo/a-grande-chance-reforma-eleitoral/,1,22,"['Começando pela propaganda, a verdade é que o Brasil tem o sistema mais regulado de campanha eleitoral do mundo. É algo esquizofrênico. No início da onda de restrições à propaganda, lá em 2006, estava a ideia de controlar gastos. Depois nós evoluímos com o teto de gastos, inclusive item a item, o que dispensaria a super regulamentação da propaganda. Mas não dispensamos. Definir o tamanho de adesivo para bicicleta, para citar um exemplo exótico da Lei Eleitoral, é uma vergonha. Temos que higienizar e desidratar a disciplina da propaganda eleitoral, dando mais espaço para os candidatos. Há bons estudos mostrando déficit de informação do eleitor em razão da hiper-regulamentação. Na essência, basta o teto de gastos.']"
"https://opiniao.estadao.com.br/noticias/espaco-aberto,aprendiz-de-feiticeiro,70003668660",1,23,"['A esquizofrenia se faz presente no governo: de um lado, caudatário do Centrão, entrega a Secretaria de Governo para inexpressiva deputada gerenciar emendas e cargos; de outro, temeroso da ingerência do Centrão, reforça com amigos a linha repressiva: delegado ligado à bancada da bala no Ministério da Justiça, o disciplinado André Mendonça na AGU e Braga Netto na Defesa. Com tal time e a possível mobilização de polícias militares pelo governo federal, concretiza-se o risco de caminho antidemocrático.']"
https://politica.estadao.com.br/blogs/fausto-macedo/o-terceiro-setor-e-a-necessidade-de-marcas-com-proposito/,1,24,['Muitos departamentos de marketing lançavam uma infinidade de produtos de forma quase esquizofrênica e investiam verbas em influenciadores simplesmente sem qualquer histórico ou análise de conteúdo mais profundo.']
https://politica.estadao.com.br/blogs/fausto-macedo/o-ambiente-de-negocios-atual-e-pos-covid-19/,1,25,"['Verdade que existe uma certa esquizofrenia nessa visão mais ampla, já que muitas empresas sucumbiram à crise ou ficaram debilitadas a ponto de não conseguirem sequer identificar qualquer movimento mais virtuoso em termos de investimento ou crédito. Verdade também que existe um volume gigantesco de débitos, dívidas e contingências tributárias à espera de um novo Refis, dessa vez com muito mais razão de ser do que nos programas de parcelamento mais recentes.']"
"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003594972",1,26,"['(26/1, A5), que os 29 magistrados do Tribunal de Justiça de Mato Grosso do Sul (TJ/MS) receberam em média R$ 268,2 mil em dezembro passado. Que o Dr. Carlos Eduardo Contar, ao assumir a presidência do tribunal e também o seu caráter negacionista, pediu o “fim da esquizofrenia e palhaçada midiática fúnebre”, além de cometer plágios diversos como classificar de irresponsável, covarde e picareta “o fique em casa”; os crentes na ciência e entidades de saúde “(...) como rebanho indo para o matadouro”; a pandemia como “histeria coletiva, mentira global”; “louvor ao morticínio”, condenando a “inadmissível violação de direitos e garantias individuais”, além do “combate indiscriminado e leviano a medicamentos (...)”. A profusão de ideias dá a justa medida do tipo de justiça a que estão submetidos os sul mato-grossenses e, caso seja “terrivelmente evangélico”, o nobre magistrado é candidato imbatível à próxima vaga no STF, tornando infrutífero o esmero da atuação do dr. Augusto Aras na PGR. Adicionalmente, sua Excia. deveria registrar em cartório que dispensa qualquer auxílio público, incluído o SUS, para eventual tratamento contra a covid-19, dado o montante dos emolumentos já auferidos.']"
"https://saude.estadao.com.br/noticias/geral,so-0-9-dos-novos-medicos-de-sp-e-negro,1628563",1,28,"['Para Frei David, coordenador executivo da ONG Educafro, é necessário rever as políticas de cotas em cursos de alta demanda. “Nesses cursos, como Medicina, deve haver uma política de inclusão ainda maior, com mais vagas para cotistas. Isso é necessário para corrigir uma distorção. Se formos analisar a proporção de estudantes de cada cor nessas faculdades, é um Brasil esquizofrênico, que não reflete a realidade do seu povo.”']"
https://ciencia.estadao.com.br/blogs/herton-escobar/metas-de-protecao-da-biodiversidade-ameacam-fracassar-de-novo/,1,29,"['“O discurso do Brasil lá fora é todo correto, todo maravilhoso, mas o que a gente vê aqui dentro é outra realidade; é uma coisa meio esquizofrênica”, diz. “O Brasil tem um papel de liderança em assuntos ambientais globais e está arriscando perder isso com essas decisões inconsistentes nas políticas nacionais.”']"
"https://politica.estadao.com.br/noticias/geral,engodo-liberal,70003624722",1,30,"[', como o coronel Hugo Chávez na Venezuela, e alertou para a esquizofrenia da campanha bolsonarista: um candidato estatizante e corporativista escudando-se num “Posto Ipiranga” privatizante e reformista. Sua aposta: o “mitômano” Guedes não ia mandar nada. Afinal, “quem tem a caneta manda”.']"
https://politica.estadao.com.br/blogs/fausto-macedo/quem-tem-medo-do-lobo-guara/,1,31,"['Ciente de que o Brasil, assim como os brasileiros, tem realidades díspares, o BC, ao lançar a nota de R$200, não atuou de maneira esquizofrênica, como apontam determinados críticos: ele atua de modo a abarcar as necessidades distintas de uma população de mais de 200 milhões de pessoas, com maior ou menor acesso a telefone celular, a internet, e até mesmo a contas bancárias.']"
"https://politica.estadao.com.br/noticias/geral,emmeio-a-crise-no-psl-centrao-quer-endurecer-punicao-a-quem-mudar-de-legenda,70003050674",1,32,"['(PSL-SP), filho “zero três” do presidente, estimulou uma “conspiração” para implodir o PSL. “Eduardo é um dos cabeças desse projeto de poder esquizofrênico”, criticou ele. “Querem arrancar o Bivar da presidência do PSL e destituir a Executiva para deixar lá só os arianos, a raça pura”, emendou, em tom de ironia.']"
"https://politica.estadao.com.br/noticias/geral,bolsonaro-exalta-olavo-e-diz-esperar-que-rusgas-com-militares-sejam-pagina-virada,70002818816",1,33,"['(PDT), candidato derrotado à Presidência, e disse que Santos Cruz ""fofoca e difama pelas costas"". O ministro retrucou e, em entrevista, chamou Olavo de ""um desocupado esquizofrênico"".']"
"https://politica.estadao.com.br/noticias/geral,amor-e-odio-na-eleicao,70002506944",1,34,"['a entrevista mais política, contundente e eficaz da campanha tucana, dizendo que Bolsonaro é um “engodo liberal”, como Hugo Chávez foi na Venezuela, e lembrando a esquizofrenia da campanha do capitão: o candidato é “estatizante e corporativo”, já o seu “Posto Ipiranga”, o economista liberal Paulo Guedes, é “mitômano” e não vai mandar nada.']"
https://cultura.estadao.com.br/blogs/bootleg-alexandre-bazzan/roky-erickson-do-13th-floor-elevators-morre-aos-71-anos/,0,35,"['Roky foi diagnosticado com esquizofrenia ainda nos anos 1960 e passou por instituições psiquiátricas para tratamentos, muitas vezes não voluntários. Ele também teve problema com drogas e foi preso portando uma pequena quantidade de maconha e voltou a ser internado, em 1969, após declarar insanidade para evitar a cadeia.']"
"https://cultura.estadao.com.br/noticias/cinema,fenix-negra-fara-com-que-o-grupo-de-mutantes-se-enfrente-como-nunca-fez-antes,70002840469",0,36,"['que lhe mandava sobre a esquizofrenia e outros transtornos mentais para que construísse o personagem partindo de algo real"", contou o diretor.']"
https://cultura.estadao.com.br/blogs/divirta-se/luca-guadagnino-dirige-novo-suspiria-com-tilda-swinton-e-dakota-johnson-no-elenco/,0,37,"['Embora tenha caído no esquecimento, o sumiço de Patricia provoca dúvidas nas colegas e em seu psicoterapeuta, que decide investigar. Assim, as suspeitas e acusações da paciente, diagnosticada com esquizofrenia e paranoia, revelam-se cada vez mais reais: as professoras da escola formam um tenebroso e bem organizado grupo de bruxas.']"
"https://cultura.estadao.com.br/noticias/teatro-e-danca,obra-da-escritora-maura-lopes-cancado-ganha-solo-com-maria-padilha,70002755562",0,38,"[""'Diários do Abismo' relata rotina de internação da escritora diagnosticada com esquizofrenia que manteve coluna no Correio da Manhã e Jornal do Brasil"", '(1965), da mineira diagnosticada com esquizofrenia. A obra, redescoberta nos últimos anos, foi importante testemunha dos casos de maus tratos sofridos por pacientes em manicômios. Maura ainda deixou o livro de contos', 'Aos 15 anos teve o único filho, com um jovem de 18. Logo decidiu se separar e na maioridade internou-se voluntariamente em uma clínica em Belo Horizonte. “Maura já enfrentava vários estigmas na juventude. Mãe, separada e esquizofrênica eram coisas demais. O machismo só fazia as pessoas se afastarem.”']"
https://politica.estadao.com.br/blogs/estadao-verifica/sao-verdadeiros-exemplos-de-paises-com-protocolos-para-cloroquina-e-cannabis-em-tuite-de-deputado/,0,41,"['Após a pesquisa, o escritório médico do governo publicou uma revisão informando que o Comitê Consultivo sobre o Uso Indevido de Drogas (ACMD) havia considerado os usos terapêuticos da cannabis e canabinoides para o tratamento de “dor crônica; câncer; náuseas/vômitos induzidos por quimioterapia; anorexia e perda de peso; síndrome do intestino irritável; epilepsia; espasticidade relacionada à esclerose múltipla ou lesão da medula espinhal; Síndrome de Tourette; esclerose lateral amiotrófica (ELA); Doença de Huntington; Mal de Parkinson; distonia; demência; glaucoma; traumatismo craniano; vício; ansiedade; depressão; distúrbios do sono; transtorno de estresse pós-traumático; esquizofrenia e outras psicoses.']"
"https://saude.estadao.com.br/noticias/geral,boa-memoria-e-consequencia-de-bons-habitos,70003672514",0,43,"['Aos 38 anos, a psiquiatra e neurocientista Natália Bezerra Mota é uma das cientistas brasileiras bastante reconhecidas no País e no exterior. Foi indicada para o prestigiado Nature Research Award, concedido pela revista Nature, pelo desenvolvimento de um método que usa computadores para identificar sofrimento mental na fala dos pacientes – o que contribui, por exemplo, para o diagnóstico precoce de desordens como a esquizofrenia. Também tem usado a tecnologia para a análise de relatos de sonhos, em busca da melhor compreensão de como ocorre o processamento da memória durante o sono. Formada em Medicina, com residência em Psiquiatria e mestrado e doutorado em Neurociências pela Universidade Federal do Rio Grande do Norte (UFRN) – centro de referência nessa área –, Natália está fazendo pós-doutorado pelo Departamento de Física da Universidade Federal de Pernambuco (UFPE).']"
https://politica.estadao.com.br/blogs/fausto-macedo/a-confusao-entre-plantar-maconha-e-producao-de-medicamentos-a-base-de-canabidiol/,0,44,"['Há vários estudos relativos ao tratamento da psicose (esquizofrenia) com cannabis, inclusive no Brasil. Sabe-se que o THC produz sintomas psicóticos, alterações sensoriais, alucinações. Em pessoas suscetíveis, ele é considerado fator desencadeante para esquizofrenia, embora este mecanismo, que envolve fatores genéticos, ainda esteja sendo mais bem compreendido.', 'Já o canabidiol exerce uma função protetora, como contrapartida ao THC. Nesse sentido, há a possibilidade do canabidiol vir a se tornar base de medicação importante para a esquizofrenia, no sentido de melhorar não só os sintomas psicóticos, mas também outros comprometimentos (como isolamento social, entre outros) destas pessoas.']"
"https://cultura.estadao.com.br/noticias/artes,livro-mostra-como-a-formacao-religiosa-de-van-gogh-interferiu-em-sua-experiencia-artistica,70003617337",0,45,"['(1853-1890) e tantas foram as biografias do artista que parece restar pouco a revelar sobre ele. Seus conhecidos problemas psicológicos (bipolaridade, esquizofrenia), suas alucinações, sua carência afetiva, sua dificuldade em formar uma comunidade artística harmoniosa, tudo foi explorado em livros e filmes. No entanto, sempre resta algo de essencial para falar – e nesse ponto emerge um ensaio da fato fundamental para entender Van Gogh longe da abordagem tradicional,']"
"https://saude.estadao.com.br/noticias/geral,combinacao-de-tecnicas-de-baixo-custo-se-mostra-eficaz-no-diagnostico-de-alzheimer,70003604697",0,46,"[', doença neurodegenerativa e progressiva do sistema nervoso central. A análise de dados obtidos pela técnica de eletroencefalografia (EEG) – usada para o diagnóstico de enfermidades como epilepsia, esquizofrenia, distúrbios do sono e']"
https://brasil.estadao.com.br/blogs/inconsciente-coletivo/christian-dunker-milicias-da-alma-e-hipermedicalizacao-a-espreita/,0,47,"['“Tem uma pesquisa famosa que diz que se você é pobre, você tem 40% a mais de chance de ser diagnosticado como esquizofrênico do que se você é rico. Vão vir outros diagnósticos, outros destinos, outras carreiras psiquiátricas.']"
"https://cultura.estadao.com.br/noticias/literatura,documentario-flagra-o-desalento-do-escritor-antonio-callado-com-o-brasil,70003588131",0,48,"['A vida que conhecemos de Antonio Callado foi brilhante, mas não isenta de percalços. No plano pessoal, teve de conviver com o suicídio de uma de suas filhas, diagnosticada como esquizofrênica. Depois de carreira muito consistente, não apenas no jornalismo como na literatura, Callado foi perdendo espaço. Salvou-o uma coluna que manteve nos últimos tempos no jornal']"
"https://saude.estadao.com.br/noticias/geral,pesquisas-tem-associado-idade-do-homem-a-problemas-na-gestacao-e-no-bebe,70002912610",0,49,"['Artigo publicado em março por pesquisadoras da Universidade Rutgers, em Nova Jersey (EUA), reuniu informações deste e de outros 22 estudos. Além de problemas ao nascer, pesquisas compiladas haviam associado a paternidade tardia a condições como esquizofrenia e até autismo nas crianças.']"
"https://saude.estadao.com.br/noticias/geral,com-varios-vetos-bolsonaro-sanciona-lei-antidrogas,70002858546",0,50,"['""O Jeferson tinha esquizofrenia e não aderia às comunidades terapêuticas, que são abertas e ele fugia. Ele começou a usar maconha em 2007 e, já no começo, teve um quadro de surto.""']"
"https://saude.estadao.com.br/noticias/geral,inteligencia-do-psicopata-e-criacao-mistica-e-mentirosa-diz-especialista,70002804864",0,51,"['. Num sentido estritamente médico, como falamos de pneumonia, meningite, não é uma doença. O que chamamos de doenças mentais, como esquizofrenia e depressão, são distúrbios pontuais. No caso da psicopatia, é um distúrbio de personalidade, não algo pontual. Agora, se consideramos a doença como uma condição biológica que te deixa em desvantagem, aí podemos dizer que sim, é uma doença.', 'Este é um debate atual acirrado. Eu pessoalmente não acredito nisso. Todos os psicopatas sabem a diferença entre o certo e o errado por isso podem ser responsabilizados criminalmente. É diferente de um esquizofrênico, por exemplo, que está delirando e ouve uma voz que o manda matar um sujeito. Ele está em surto. O psicopata, não. Ele sabe, não é psicótico. E tem outra coisa, o fato de ter uma predisposição não justifica nada. Há um perigo no excesso de neurocientização da sociedade que é tentar explicar tudo pelo cérebro. Ora, o cérebro sozinho não faz nada.']"
"https://ciencia.estadao.com.br/noticias/geral,circuitos-cerebrais-das-emocoes-surgem-antes-de-o-bebe-completar-um-ano,70002542719",0,52,"['O trabalho foi feito com base nas imagens cerebrais de 223 recém-nascidos. Os cientistas olharam especificamente para o centro de processamento de emoções no cérebro, a região conhecida como amígdala, e suas conexões com outras áreas do cérebro relacionadas às emoções. Processamentos atípicos na amígdala estão ligados a desordens como depressão, ansiedade e esquizofrenia em adultos.']"
"https://saude.estadao.com.br/noticias/geral,a-cada-45-minutos-uma-pessoa-comete-suicidio-no-brasil,70002496904",0,53,"['A ABP quer levar isso à população. “A ABP quer popularizar. Nós estamos levando isso para as escolas, empresas e instituições”, afirmou o médico. “O que entristece os membros da ABP é ver que as pessoas querem abordar o assunto, mas negando a doença mental, que a depressão ou a esquizofrenia existam.”']"
"https://ciencia.estadao.com.br/noticias/geral,estados-unidos-aprovam-primeira-pilula-digital-rastreavel,70002084499",0,54,"['A liberação do primeiro remédio aplica-se ao aripiprazol, um antipsicótico usado no tratamento de distúrbios mentais, como transtornos de personalidade, depressão e esquizofrenia.']"
"https://ciencia.estadao.com.br/noticias/geral,piloto-de-espermatozoide,70001979079",0,55,"['Os cientistas estavam interessados nos receptores de glutamato. Esses receptores são importantes no funcionamento do sistema nervoso e estão envolvidos em processos como aprendizagem e memória, além de doenças como autismo e esquizofrenia. Como existem dezenas desses receptores no genoma de mamíferos, fica difícil estudar seu funcionamento. Foi por isso que os cientistas foram atrás desse musgo que só possui dois desses receptores. Os cientistas imaginaram que, se removessem esses dois genes, descobririam sua função. Tomaram um susto.']"
https://ciencia.estadao.com.br/blogs/herton-escobar/descriminalizacao-nao-aumentaria-consumo-de-drogas-diz-psiquiatra/,0,56,"['Depende de quem usa. Há dependentes graves de maconha, embora não tão frequentes como com drogas como o tabaco, crack ou álcool. Se alguém tem uma tendência a desenvolver esquizofrenia, a maconha poderá fazer mais mal. Por outro lado, há usuários de cigarro que não se viciam no tabaco, e que o consomem muito esporadicamente. Esses usuários não problemáticos, como os de outras drogas em geral, são infelizmente muito pouco estudados pela literatura científica. Voltando à pergunta original, talvez ainda seja muito cedo para afirmar com certeza, até porque estamos falando de amostras populacionais de tamanhos distintos. Porém, de uma forma geral, usuários regulares de tabaco parecem padecer de piores problemas de saúde do que os usuários regulares de maconha.']"
"https://saude.estadao.com.br/noticias/geral,internava-ou-ele-morria-conta-mae,70001900733",0,57,"['Com esquizofrenia e viciado em cocaína e maconha, homem passou por hospitais psiquiátricos a pedido da mãe; hoje está em casa', 'A aposentada Marília Sandra Martins, de 78 anos, abraça o filho José Oswaldo Martins, de 62, na sala da casa onde moram, na zona norte de São Paulo. Ele havia acabado de ajudar a organizar a residência e se preparava para ir às compras. Há sete meses, um clima de paz atípico se instaurou na família: com esquizofrenia e viciado em cocaína e maconha, Martins já passou por 36 internações em hospitais psiquiátricos a pedido da mãe – em dois dos episódios, após agredi-la fisicamente.', 'Ele foi diagnosticado com esquizofrenia e síndrome de dependência. Mas a mãe, umbandista, chegou a acreditou que pudesse se tratar de um espírito maligno. “Fiz de tudo, trabalhos (']"
"https://saude.estadao.com.br/noticias/geral,rua-e-temor-de-familias-e-autoridades,70001900751",0,58,"['No Hospital Thereza Perlatti, de Jaú, são comuns as internações prolongadas de moradores de rua com problemas psiquiátricos, como esquizofrenia ou dependência química. “Há um entendimento de que eles não devem ficar na rua, sem família. Normalmente é um morador de rua que causou algum incômodo, que fala sozinho ou já agrediu alguém”, diz a psicóloga Marília Belfiore. “É preciso articular serviços de saúde e residência terapêutica, com suporte da assistência social.”']"
