Jornal,Coluna,Palavra,Data,Data formatada,Metaforico,Título,,Link,,stringado
Folha de S. Paulo,Ilustrada,Esquizofrenia,22/01/02,22/01/2002,Não,Howard e Luhrmann são indicados a prêmio do sindicato dos diretores,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u20729.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u20729.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,28/01/02,28/01/2002,Não,"""Moulin Rouge"" e ""O Senhor dos Anéis"" disputam Oscar britânico","""",https://www1.folha.uol.com.br/folha/reuters/ult112u11213.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u11213.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia (2),30 de janeiro de 2002,30/01/2002,Não,Longa traz polêmica nas entrelinhas,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq3001200211.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq3001200211.htm"","
Folha de S. Paulo,Equilibrio,Esquizofrenia,07 de fevereiro de 2002,07/02/2002,Não,Teste da SFC,"""",https://www1.folha.uol.com.br/fsp/equilibrio/eq0702200217.htm,""",","""https://www1.folha.uol.com.br/fsp/equilibrio/eq0702200217.htm"","
Folha de S. Paulo,Mundo,Esquizofrenia,08 de fevereiro de 2002,08/02/2002,Não,Assassino diz ter matado sócio afegão em defesa dos EUA,"""",https://www1.folha.uol.com.br/fsp/mundo/ft0802200204.htm,""",","""https://www1.folha.uol.com.br/fsp/mundo/ft0802200204.htm"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênico",13 de fevereiro de 2002,13/02/2002,Não,Afogado em número,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200213.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200213.htm"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,13 de fevereiro de 2002,13/02/2002,Não,Matemática de Howard soma oito categorias,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200208.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1302200208.htm"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênico",13/02/02,13/02/2002,Não,Filme sobre matemático esquizofrênico recebe 8 indicações,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u21239.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u21239.shtml"","
Folha de S. Paulo,Reuters,"Esquizofrenia, esquizofrênico",14/02/02,14/02/2002,Não,"""Uma Mente Brilhante"" é inteligente e fascinante","""",https://www1.folha.uol.com.br/folha/reuters/ult112u11951.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u11951.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,17/02/02,17/02/2002,Não,"Com 400 filmes, festival de Berlim traz visão do mundo e reflexão","""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u21351.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u21351.shtml"","
Folha de S. Paulo,Mundo,Esquizofrenia,18/02/02,18/02/2002,Não,Começa julgamento da mãe que assassinou os cinco filhos nos EUA,"""",https://www1.folha.uol.com.br/folha/mundo/ult94u37219.shtml,""",","""https://www1.folha.uol.com.br/folha/mundo/ult94u37219.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,19 de fevereiro de 2002,19/02/2002,Não,"Atores do filme ""Uma Mente Brilhante"" estão no ""CineView"", do Telecine","""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1902200202.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1902200202.htm"","
Folha de S. Paulo,Mundo,"Esquizofrenia, esquizofrênico (2)",20 de fevereiro de 2002,20/02/2002,Não,EUA sustam execução de doente mental,"""",https://www1.folha.uol.com.br/fsp/mundo/ft2002200209.htm,""",","""https://www1.folha.uol.com.br/fsp/mundo/ft2002200209.htm"","
Folha de S. Paulo,Mercado,"Esquizofrenia, esquizofrênico",25 de fevereiro de 2002,25/02/2002,Não,"""Mente Brilhante"" ignora idéias e economia","""",https://www1.folha.uol.com.br/fsp/dinheiro/fi2502200206.htm,""",","""https://www1.folha.uol.com.br/fsp/dinheiro/fi2502200206.htm"","
Folha de S. Paulo,Mundo,"Esquizofrenia (2), esquizofrênico",25/02/2002,25/02/2002,Não,Esquizofrênico escapa da pena de morte nos EUA,"""",https://www1.folha.uol.com.br/folha/mundo/ult94u37550.shtml,""",","""https://www1.folha.uol.com.br/folha/mundo/ult94u37550.shtml"","
Folha de S. Paulo,Ciência,"Esquizofrenia(2), esquizofrênico",12 de março de 2002,12/03/2002,Não,Enzima fornece diagnóstico de Alzheimer,"""",https://www1.folha.uol.com.br/fsp/ciencia/fe1203200201.htm,""",","""https://www1.folha.uol.com.br/fsp/ciencia/fe1203200201.htm"","
Folha de S. Paulo,Mundo,Esquizofrenia,12/03/2002,12/03/2002,Não,Mãe que afogou os cinco filhos aguarda a decisão do júri,"""",https://www1.folha.uol.com.br/folha/mundo/ult94u38285.shtml,""",","""https://www1.folha.uol.com.br/folha/mundo/ult94u38285.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,13/03/2002,13/03/2002,Não,Estudos associam genes do cromossomo 22 à esquizofrenia,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u13121.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u13121.shtml"","
Folha de S. Paulo,Reuters,Esquizofrenia,14/03/2002,14/03/2002,Não,"Autora de ""Uma Mente Brilhante"" rebate críticas a John Nash","""",https://www1.folha.uol.com.br/folha/reuters/ult112u13185.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u13185.shtml"","
Folha de S. Paulo,Mundo,Esquizofrenia,15 de março de 2002,15/03/2002,Não,"Maconha vicia menos que cigarro, diz estudo","""",https://www1.folha.uol.com.br/fsp/mundo/ft1503200209.htm,""",","""https://www1.folha.uol.com.br/fsp/mundo/ft1503200209.htm"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia (2), esquizofrênico",15/03/2002,15/03/2002,Não,"""Uma Mente Brilhante"" é críticado por omitir ""lado B"" de John Nash","""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22164.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u22164.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,18 de março de 2002,18/03/2002,Não,"""Mente Brilhante"" tem Oscar ameaçado","""",https://www1.folha.uol.com.br/fsp/ilustrad/fq1803200209.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq1803200209.htm"","
Folha de S. Paulo,Reuters,Esquizofrenia,19/03/2002,19/03/2002,Não,Mapeamento do cérebro poderia ajudar esquizofrênicos e depressivos,"""",https://www1.folha.uol.com.br/folha/reuters/ult112u13416.shtml,""",","""https://www1.folha.uol.com.br/folha/reuters/ult112u13416.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,21/03/2002,21/03/2002,Não,Hollywood mantém o gosto pelos filmes sobre problemas mentais,"""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22334.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u22334.shtml"","
Folha de S. Paulo,Ilustrada,Esquizofrenia,22/03/2002,22/03/2002,Não,"Público elege ""O Senhor dos Anéis"" e ""Uma Mente Brilhante""","""",https://www1.folha.uol.com.br/folha/ilustrada/ult90u22398.shtml,""",","""https://www1.folha.uol.com.br/folha/ilustrada/ult90u22398.shtml"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênicas",23 de março de 2002,23/03/2002,Não,Livro de Nasar supera anêmico filme de Howard,"""",https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200213.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200213.htm"","
Folha de S. Paulo,Ilustrada,"Esquizofrenia, esquizofrênico",23 de março de 2002,23/03/2002,Não,"""Quis passar o espírito de vida de Nash para o público"", diz Crowe","""",https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200212.htm,""",","""https://www1.folha.uol.com.br/fsp/ilustrad/fq2303200212.htm"","
