Jornal,Link,metaforico,paragrafos_resgatados,paragrafos_tratados_sw
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003685674",1,"['Preservar a Amazônia é simplesmente fundamental para o planeta. Contudo, nosso presidente não tem crédito com o governo de Joe Biden. Ainda ontem de braços com Donald Trump, sua governança oscilante aos ventos e suas dissimulações nada disfarçam. Diga-se o que se queira, mas o governo americano não se presta a “passa-moleques”. Daí a entrada em cena do nome mais respeitável na defesa climática, John Kerry. E as críticas dos democratas que dialogam com a natureza sobre o passado recente do presidente brasileiro. Sempre é possível mudar, mas a esquizofrenia em matéria política dissolve os ajustes\xa0na terra alagadiça da desconfiança.']",['preservar amazônia simplesmente fundamental planeta presidente crédito governo joe biden braços donald trump governança oscilante ventos dissimulações disfarçam queira governo americano presta daí entrada cena nome respeitável defesa climática john kerry críticas democratas dialogam natureza passado recente presidente brasileiro mudar esquizofrenia matéria política dissolve ajustes terra alagadiça desconfiança']
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003681598",1,"['(13/4, A3) faz correta análise da deplorável conduta de Jair Bolsonaro, dono de linguagem “chula”, que seus seguidores “se esforçam para qualificar” como “autêntica”, já que ele fala o que “pensa”. Será que pensa? De fato, ninguém mais fica perplexo com suas “grosserias” e “obscenidades”. Como indicam as pesquisas, o justo “desprezo” leva à sua derrocada na preferência do eleitorado. Um presidente sem respeito à vida dos brasileiros, que zomba da pandemia, já com mais de 360 mil mortos, incapaz de reconhecer seus erros, autoritário, que se diverte afrontando a Nação, é constrangedor. Sem limites para suas excrescências, de fato nenhum outro “presidente digno no cargo” faria o que fez Bolsonaro ao pressionar o senador Jorge Kajuru para ampliar as investigações da CPI da covid, incluindo governadores e prefeitos, além de incentivá-lo a trabalhar pelo impeachment de ministros do STF. Esquizofrenia pura...']",['correta análise deplorável conduta jair bolsonaro dono linguagem chula seguidores esforçam qualificar autêntica fala pensa será pensa fato ninguém fica perplexo grosserias obscenidades indicam pesquisas justo desprezo leva derrocada preferência eleitorado presidente respeito vida brasileiros zomba pandemia mortos incapaz reconhecer erros autoritário diverte afrontando nação constrangedor limites excrescências fato nenhum outro presidente digno cargo faria bolsonaro pressionar senador jorge kajuru ampliar investigações cpi covid incluindo governadores prefeitos trabalhar impeachment ministros stf esquizofrenia pura']
Estadão,"https://opiniao.estadao.com.br/noticias/espaco-aberto,aprendiz-de-feiticeiro,70003668660",1,"['A esquizofrenia se faz presente no governo: de um lado, caudatário do Centrão, entrega a Secretaria de Governo para inexpressiva deputada gerenciar emendas e cargos; de outro, temeroso da ingerência do Centrão, reforça com amigos a linha repressiva: delegado ligado à bancada da bala no Ministério da Justiça, o disciplinado André Mendonça na AGU e Braga Netto na Defesa. Com tal time e a possível mobilização de polícias militares pelo governo federal, concretiza-se o risco de caminho antidemocrático.']",['esquizofrenia presente governo caudatário centrão entrega secretaria governo inexpressiva deputada gerenciar emendas cargos outro temeroso ingerência centrão reforça amigos linha repressiva delegado bancada bala ministério justiça disciplinado andré mendonça agu braga netto defesa time mobilização polícias militares governo federal risco antidemocrático']
Estadão,https://politica.estadao.com.br/blogs/fausto-macedo/o-terceiro-setor-e-a-necessidade-de-marcas-com-proposito/,1,['Muitos departamentos de marketing lançavam uma infinidade de produtos de forma quase esquizofrênica e investiam verbas em influenciadores simplesmente sem qualquer histórico ou análise de conteúdo mais profundo.'],['departamentos marketing lançavam infinidade produtos quase esquizofrênica investiam verbas influenciadores simplesmente histórico análise conteúdo profundo']
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003662371",1,"['(27/3, A2). Não temos uma instituição em crise, estão todas em coma, sem falar no drama pandêmico: culturais, educacionais, de Justiça, políticas, etc. O governo não estrutura bases sólidas para funcionamento do Estado brasileiro, recompondo seus fundamentos. Este, sob o governo Bolsonaro, é a versão do “Estado inimigo”, além disso, inepto, arranhado diariamente, confuso, sem um centro democrático firme, fragmentado, portanto, esquizofrênico. Efetivamente, não será nada fácil sairmos do lodo que atola o povo até os cabelos, consequência do vírus político.']",['instituição crise coma falar drama pandêmico culturais educacionais justiça políticas governo estrutura bases sólidas funcionamento brasileiro recompondo fundamentos governo bolsonaro versão inimigo inepto arranhado diariamente confuso centro democrático firme fragmentado esquizofrênico efetivamente será fácil sairmos lodo atola cabelos consequência vírus político']
Estadão,"https://cultura.estadao.com.br/noticias/literatura,em-novo-livro-simon-schwartzman-articula-memorias-e-busca-novos-caminhos-para-o-brasil,70003644612",1,"['""Durante meus dois anos\xa0em Berkeley, não\xa0conheci um\xa0americano sequer que pertencesse ao Partido Republicano.\xa0Mas Ronald Reagan foi eleito governador da Califórnia em 1967,\xa0e é dele a assinatura que tenho em meu diploma de doutorado,\xa0como presidente do Conselho de Regentes da Universidade. Em\xa01968, acompanhei pela televisão, horrorizado, as notícias sobre os\xa0assassinatos de Martin Luther King e Robert Kennedy (...). No fim de 1968, estava tudo pronto para voltarmos ao Brasil,\xa0onde eu deveria me integrar ao Departamento de Ciência Política\xa0da UFMG e redigir minha tese. Foi quando o governo brasileiro\xa0decretou o AI-5, interrompendo o que parecia ser um processo\xa0de melhora do clima político no Brasil. A repressão recrudesceu\xa0e fiquei sem saber o que fazer. Apter sugeriu que eu permanecesse por mais tempo em Berkeley, mas Carmen e eu acabamos\xa0tomando uma decisão esquizofrênica: despachamos o contêiner\xa0com nossa mudança para Buenos Aires e tomamos o avião para\xa0o Brasil, a caminho de Belo Horizonte, com Michel, nosso filho\xa0recém-nascido, no colo.”']",['durante anos berkeley conheci americano sequer pertencesse partido republicano ronald reagan eleito governador califórnia dele assinatura diploma doutorado presidente regentes universidade acompanhei televisão horrorizado notícias assassinatos martin luther king robert kennedy pronto voltarmos brasil deveria integrar departamento ciência política ufmg redigir tese governo brasileiro decretou interrompendo parecia processo melhora clima político brasil repressão recrudesceu fiquei apter sugeriu permanecesse berkeley carmen acabamos tomando decisão esquizofrênica despachamos contêiner mudança buenos aires tomamos avião brasil belo horizonte michel filho colo']
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003639722",1,"['Os assustadores acontecimentos que estamos tendo neste momento de pandemia, agravados pela postura impressionantemente esquizofrênica de nossa maior liderança governamental, estão nos transformando em um pária mundial. Como efeito disso, a nossa economia já está começando a sofrer, não podemos imaginar aonde vai chegar. Exigimos que nossas legítimas lideranças tomem consciência dessa trágica realidade e procurem intervir nesse processo degenerativo, no sentido de evitar um caos, que não podemos imaginar.']",['assustadores acontecimentos estamos tendo pandemia agravados postura impressionantemente esquizofrênica liderança governamental transformando pária mundial efeito economia começando sofrer podemos imaginar aonde chegar exigimos legítimas lideranças tomem consciência trágica realidade procurem intervir processo degenerativo sentido evitar caos podemos imaginar']
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003638963",1,"['Para frustração deste desumano e inconsequente Jair Bolsonaro, o governo do Estado de São Paulo, mesmo em meio a essa pandemia de covid-19, demonstrou eficiência, cortou gastos, fez uma dura reforma fiscal, e como prêmio conseguiu um PIB positivo de 0,4%, nesse difícil ano de 2020. E o governador João Doria, graças à parceria que fez com a chinesa Sinovac e o Instituto Butatan, conseguiu\xa0 a vacina Coronavac,\xa0 que atende 90%\xa0 dos vacinados no Brasil. Uma façanha!\xa0\xa0 Se fosse um país, São Paulo seria o 4º com crescimento econômico no mundo. Em primeiro foi Taiwan, 3,1%; depois a China, com 2%; e Turquia, com 1,6%. O Brasil, de Bolsonaro teve queda de 4,1%. Porém, se não tivéssemos um presidente\xa0 que só promove indignação, que não se preocupa com o nosso desenvolvimento econômico e social, certamente o tombo do PIB, em 2020, teria sido menor. E os números não mentem. Quando Jair Bolsonaro assumiu o poder, o Brasil era a 9ª economia do mundo. E hoje, com o País, mal administrado, caiu para 12ª economia. E a renda per capita, que ruiu 4,8%, é medíocre, passando para R$ 35.172,00, ou US$ 6,4 mil. Enquanto a Coreia do Sul, que ultrapassou o nosso país, tem um PIB per capita de US$ 31,5 mil, ou R$ 173 mil.\xa0 Ora, Bolsonaro\xa0 só quer confronto, não sabe dialogar com a Nação. Despreza a ciência, essa pandemia e, sem escrúpulos algum, não tem sentimento para salvar vidas. Nem foi capaz de comparar vacinas antecipadamente, o\xa0 que poderia ter evitado milhares de óbitos, que já chegaram a mais de 260 mil. Porém, perdido e sem rumo, e com sinais de esquizofrenia,\xa0\xa0 ainda prefere\xa0 chamar\xa0\xa0 o povo brasileiro de “marica”,\xa0 “idiota”, ou que precisa parar com essa\xa0 frescura de pedir vacinas,\xa0 sugerindo que peça para “sua mãe comprar”... Precisamos, urgentemente, parar esse cara!']",['frustração desumano inconsequente jair bolsonaro governo paulo pandemia demonstrou eficiência cortou gastos dura reforma fiscal prêmio conseguiu pib positivo difícil ano governador joão doria graças parceria chinesa sinovac instituto butatan conseguiu vacina coronavac atende vacinados brasil façanha fosse país paulo crescimento econômico mundo taiwan china turquia brasil bolsonaro queda tivéssemos presidente promove indignação preocupa desenvolvimento econômico social tombo pib teria sido mentem jair bolsonaro assumiu brasil economia mundo hoje país administrado caiu economia renda per capita ruiu medíocre passando coreia sul ultrapassou país pib per capita bolsonaro confronto dialogar nação despreza ciência pandemia escrúpulos algum sentimento salvar vidas capaz comparar vacinas antecipadamente poderia evitado milhares óbitos chegaram perdido rumo sinais esquizofrenia prefere chamar brasileiro marica idiota precisa parar frescura pedir vacinas sugerindo peça mãe comprar precisamos urgentemente parar cara']
Estadão,https://cultura.estadao.com.br/blogs/p-de-pop/rodrigo-areias-nos-mares-do-cinema-portugues/,1,"['Iríamos fazer agora um filme de época grande que se chama “The Worst Man in London”… “O Pior Homem de Londres”, mas esse foi adiado. É a história de um português, chamado Carlos Augusto, que, dentro da Londres vitoriana, foi um personagem muito importante na esfera artística do século XVIII. Antecipei outro filme, que é outra adaptação de Raul Brandão: “A Pedra à Espera da Flor”. É feito a partir de uma adaptação de “A Morte do Palhaço” e de várias obras do Raul Brandão. Nosso filme em produção agora é o trabalho mais recente do Edgar Pêra, chamado “Não Sou Nada”. É um filme que se dentro da cabeça de Fernando Pessoa, sobre a luta e o embate dos homens pelo domínio da obra de Fernando Pessoa. Será um filme esquizofrênico, baseado nos últimos estudos sobre o Fernando. Eu diria que talvez seja para o início do próximo ano.']",['iríamos filme época chama the worst man in london pior homem londres adiado história português chamado carlos augusto londres vitoriana personagem importante esfera artística século xviii antecipei outro filme adaptação raul brandão pedra espera flor feito adaptação morte palhaço várias obras raul brandão filme produção trabalho recente edgar pêra chamado filme cabeça fernando pessoa luta embate homens domínio obra fernando pessoa será filme esquizofrênico baseado últimos estudos fernando diria seja início ano']
Estadão,"https://politica.estadao.com.br/noticias/geral,engodo-liberal,70003624722",1,"[', como o coronel Hugo Chávez na Venezuela, e alertou para a esquizofrenia da campanha bolsonarista: um candidato estatizante e corporativista escudando-se num “Posto Ipiranga” privatizante e reformista. Sua aposta: o “mitômano” Guedes não ia mandar nada. Afinal, “quem tem a caneta manda”.']",['coronel hugo chávez venezuela alertou esquizofrenia campanha bolsonarista candidato estatizante corporativista posto ipiranga privatizante reformista aposta mitômano guedes ia mandar afinal caneta manda']
Estadão,https://politica.estadao.com.br/blogs/fausto-macedo/esquizocovidfrenia/,1,"['é um transtorno psíquico assemelhado à esquizofrenia, mas com peculiaridades que a tornam única: vírus, máscaras, cloroquina, quarentena, aglomerações, vacinas, óbitos. A exemplo da esquizofrenia, também provoca a perda de contato com a realidade, tornando impossível distinguir o real da imaginação ou alucinação, como ouvir vozes ou até ver pessoas ou objetos que não existem de fato.']",['transtorno psíquico assemelhado esquizofrenia peculiaridades tornam única vírus máscaras cloroquina quarentena aglomerações vacinas óbitos esquizofrenia provoca perda contato realidade tornando impossível distinguir real imaginação alucinação ouvir vozes pessoas objetos existem fato']
Estadão,https://politica.estadao.com.br/blogs/coluna-do-estadao/pazuello-segue-rotina-de-acumular-reveses/,1,"['“Esquizofrenia do governo: pressão para não aprovar; agora, para liberar. Questão técnica de saúde não se resolve assim”,']",['esquizofrenia governo pressão aprovar liberar técnica saúde resolve']
Estadão,https://politica.estadao.com.br/blogs/fausto-macedo/covid-trabalho-e-necessaria-acao-para-a-retomada-economica-do-pais/,1,"['Os números da pandemia provocada pela Covid-19 crescem e estamos chegando ao absurdo número de quase 1.500 mortes por dia, o que facilmente dobrará em razão da inadequação de políticas públicas e ausência plena e incontestável de gerenciamento da crise por aqueles que elegemos. Segue o Brasil quebrando seus recordes de inanição intelectual governamental numa infindável espécie de esquizofrenia narcisista (nova modalidade instalada), onde o monstro se vê belo no espelho e se sente perseguido por todos, mesmo que a perseguição transite apenas na sua mente sombria pelo fato dele mesmo ser desprovido de qualquer valor digno de nota.']",['pandemia provocada crescem estamos chegando absurdo quase mortes dia facilmente dobrará razão inadequação políticas públicas ausência plena incontestável gerenciamento crise elegemos segue brasil quebrando recordes inanição intelectual governamental infindável espécie esquizofrenia narcisista modalidade instalada monstro vê belo espelho sente perseguido perseguição transite mente sombria fato dele desprovido digno nota']
Estadão,https://politica.estadao.com.br/blogs/fausto-macedo/o-ambiente-de-negocios-atual-e-pos-covid-19/,1,"['Verdade que existe uma certa esquizofrenia nessa visão mais ampla, já que muitas empresas sucumbiram à crise ou ficaram debilitadas a ponto de não conseguirem sequer identificar qualquer movimento mais virtuoso em termos de investimento ou crédito. Verdade também que existe um volume gigantesco de débitos, dívidas e contingências tributárias à espera de um novo Refis, dessa vez com muito mais razão de ser do que nos programas de parcelamento mais recentes.']",['verdade existe certa esquizofrenia visão ampla muitas empresas sucumbiram crise ficaram debilitadas conseguirem sequer identificar movimento virtuoso termos investimento crédito verdade existe volume gigantesco débitos dívidas contingências tributárias espera refis razão programas parcelamento recentes']
Estadão,"https://opiniao.estadao.com.br/noticias/artigos-dos-leitores,forum-dos-leitores,70003594972",1,"['(26/1, A5), que os 29 magistrados do Tribunal de Justiça de Mato Grosso do Sul (TJ/MS) receberam em média R$ 268,2 mil em dezembro passado. Que o Dr. Carlos Eduardo Contar, ao assumir a presidência do tribunal e também o seu caráter negacionista, pediu o “fim da esquizofrenia e palhaçada midiática fúnebre”, além de cometer plágios diversos como classificar de irresponsável, covarde e picareta “o fique em casa”; os crentes na ciência e entidades de saúde “(...) como rebanho indo para o matadouro”; a pandemia como “histeria coletiva, mentira global”; “louvor ao morticínio”, condenando a “inadmissível violação de direitos e garantias individuais”, além do “combate indiscriminado e leviano a medicamentos (...)”. A profusão de ideias dá a justa medida do tipo de justiça a que estão submetidos os sul mato-grossenses e, caso seja “terrivelmente evangélico”, o nobre magistrado é candidato imbatível à próxima vaga no STF, tornando infrutífero o esmero da atuação do dr. Augusto Aras na PGR. Adicionalmente, sua Excia. deveria registrar em cartório que dispensa qualquer auxílio público, incluído o SUS, para eventual tratamento contra a covid-19, dado o montante dos emolumentos já auferidos.']",['magistrados tribunal justiça mato grosso sul tj ms receberam média dezembro passado carlos eduardo contar assumir presidência tribunal caráter negacionista pediu esquizofrenia palhaçada midiática fúnebre cometer plágios diversos classificar irresponsável covarde picareta fique casa crentes ciência entidades saúde rebanho indo matadouro pandemia histeria coletiva mentira global louvor morticínio condenando inadmissível violação direitos garantias individuais combate indiscriminado leviano medicamentos profusão ideias justa medida justiça submetidos sul caso seja terrivelmente evangélico nobre magistrado candidato imbatível vaga stf tornando infrutífero esmero atuação augusto aras pgr adicionalmente excia deveria registrar cartório dispensa auxílio público incluído sus tratamento dado montante emolumentos auferidos']
Estadão,"https://politica.estadao.com.br/noticias/geral,maricas-covardes-picaretas,70003594104",1,"['Ao assumir ontem a presidência do Tribunal de Justiça (TJ) de Mato Grosso do Sul, o desembargador Carlos Eduardo Contar pediu “o fim da esquizofrenia e palhaçada midiática fúnebre” e propôs que “desprezemos o irresponsável, o covarde e picareta da ocasião que afirma “fiquem em casa’”. Para Bolsonaro, o cidadão que se cuida e cuida do outro na pandemia é “maricas”. Para Contar, é “irresponsável, covarde e picareta”.']",['assumir presidência tribunal justiça tj mato grosso sul desembargador carlos eduardo contar pediu esquizofrenia palhaçada midiática fúnebre propôs desprezemos irresponsável covarde picareta ocasião afirma fiquem casa bolsonaro cidadão cuida cuida outro pandemia maricas contar irresponsável covarde picareta']
Estadão,"https://cultura.estadao.com.br/noticias/geral,uma-vacina-contra-privilegios,70003586819",1,"['Contra elas, usamos as teias invisíveis da casa. O resultado é uma óbvia esquizofrenia (semente de corrupção, nepotismo e despotismo); e uma ambiguidade que cobra o seu alto preço contrariando os valores democráticos da vida pública.']",['usamos teias invisíveis casa resultado óbvia esquizofrenia semente corrupção nepotismo despotismo ambiguidade cobra alto preço contrariando valores democráticos vida pública']
